City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,brandon,27.9378,-82.2859,21.92,86,0,2.57,US,1710813973
143,pyhajarvi,67.0701,27.2176,-6.58,94,97,3.5,FI,1710814030
144,susuman,62.7833,148.1667,-11.12,82,100,0.89,RU,1710814030
145,namtsy,62.7161,129.6658,-13.48,91,94,3.08,RU,1710814030
146,khandyga,62.6667,135.6,-11.24,89,72,0.33,RU,1710814030
147,belomorsk,64.5232,34.7668,-5.37,70,61,4.77,RU,1710814030
148,grafton,42.207,-71.6856,3.0,56,0,6.17,US,1710814030
149,mar del plata,-38.0023,-57.5575,19.01,76,100,5.14,AR,1710813753
150,sandnessjoen,66.0217,12.6316,-1.71,61,98,5.68,NO,1710814031
151,west island,-12.1568,96.8225,28.99,79,1,3.09,CC,1710814031
152,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,86,75,22.35,RU,1710814031
153,miyako,39.6367,141.9525,5.98,33,36,6.08,JP,1710814031
154,taltal,-25.4,-70.4833,19.84,84,30,1.41,CL,1710814031
155,eenhana,-17.4667,16.3333,22.63,52,72,2.05,NA,1710814031
156,ongole,15.5,80.05,25.83,74,1,2.63,IN,1710814031
157,kapuskasing,49.4169,-82.4331,-8.95,67,100,1.54,CA,1710813758
158,hobyo,5.3505,48.5268,26.97,69,10,5.15,SO,1710814031
159,robertsport,6.7533,-11.3686,26.97,92,51,4.19,LR,1710814031
160,trairi,-3.2778,-39.2689,25.53,91,93,2.4,BR,1710813962
161,hamilton,39.1834,-84.5333,1.15,58,100,6.69,US,1710814032
162,selfoss,63.9331,-20.9971,-0.53,78,72,6.76,IS,1710814032
163,puerto ayora,-0.7393,-90.3518,28.08,91,100,1.79,EC,1710813999
164,mahibadhoo,3.7833,72.9667,28.39,69,1,5.11,MV,1710814032
165,harper,4.375,-7.7169,27.35,89,54,2.07,LR,1710814032
166,anatuya,-28.4606,-62.8347,27.68,75,98,3.15,AR,1710814032
167,bam,29.106,58.357,21.33,38,100,2.83,IR,1710814032
168,kirensk,57.7853,108.1119,-2.24,97,100,4.47,RU,1710814032
169,yellowknife,62.456,-114.3525,-17.71,50,20,3.6,CA,1710813831
170,hawaiian paradise park,19.5933,-154.9731,23.73,73,100,3.09,US,1710814032
171,klaksvik,62.2266,-6.589,7.51,94,100,16.02,FO,1710814032
172,isafjordur,66.0755,-23.124,0.16,98,100,14.58,IS,1710814033
173,noshiro,40.2039,140.0242,4.49,47,96,4.95,JP,1710814033
174,queenstown,-31.8976,26.8753,14.67,68,3,1.5,ZA,1710814033
175,fort mcmurray,56.7268,-111.381,-5.27,68,100,5.66,CA,1710814027
176,cabo san lucas,22.8909,-109.9124,23.61,67,20,3.09,MX,1710813903
177,ouesso,1.6136,16.0517,22.35,95,100,1.06,CG,1710814033
178,aykhal,66.0,111.5,-17.66,87,7,8.4,RU,1710814033
179,yilan,24.757,121.753,14.95,84,100,2.67,TW,1710813984
